id,name,zip_code,county,full_address,geometry
P0152,"MICHIGAN DEPT OF TECHNOLOGY, MANAGEMENT AND BUDGET",48821,EATON,"7432 PARSONS DR., DIMONDALE, MI","[-84.6747065, 42.6748388]"
N7842,CLARK FARMS,48822,CLINTON,"10641 W CLARK RD, EAGLE, MI","[-84.7323763, 42.8136531]"
A1571,"HUNTSMAN ADVANCED MATERIALS AMERICAS, LLC.",48823,INGHAM,"4917 DAWN AVE, EAST LANSING, MI","[-84.4515608, 42.7249298]"
A1588,SUPERIOR BRASS & ALUMINUM,48823,INGHAM,"4893 DAWN AVE, EAST LANSING, MI","[-84.4516428, 42.7236397]"
M3883,US DEPT OF AGRICULTURE,48823,INGHAM,"3606 E MT HOPE RD, EAST LANSING, MI","[-84.4845903, 42.71183509999999]"
P1114,"DINO-MITE CRUSHING & RECYCLING, LLC",48827,WAYNE,"12625 GREENFIELD ROAD, DETROIT, MI","[-83.20055699999999, 42.3804779]"
P0124,ADMIRAL PETROLEUM,48827,EATON,"919 S MAIN ST, EATON RAPIDS, MI","[-84.65621279999999, 42.5030396]"
N5561,AXSON NORTH AMERICA INC,48827,EATON,"1611 HULTS DR, EATON RAPIDS, MI","[-84.6509368, 42.49169149999999]"
P0725,EATON RAPIDS ELECTRIC DEPARTMENT,48827,EATON,"300 MARKET STREE, EATON RAPIDS, MI","[-84.6539231, 42.5166112]"
N3022,EATON RAPIDS GAS STORAGE SYSTEM,48827,INGHAM,"3349 S WAVERLY RD, EATON RAPIDS, MI","[-84.6010422, 42.4864694]"
N3677,MERIDIAN MAGNESIUM PRODUCTS OF AMERICA,48827,EATON,"2001 INDUSTRIAL DR., EATON RAPIDS, MI","[-84.6512249, 42.52423779999999]"
N7241,METOKOTE CORP.,48827,EATON,"3001 HOLLOW RIDGE DR., EATON RAPIDS, MI","[-84.6498847, 42.52741]"
P0973,RAPIDS TUMBLE FINISH,48827,EATON,"1607 HULTS ROAD, EATON RAPIDS, MI","[-84.65102619999999, 42.4930964]"
P0704,ROGER BETZ FARM,48827,EATON,"SEC 35 HAMLIN TWP., EATON RAPIDS, MI","[-84.65581399999999, 42.5092039]"
P0178,"URV USA, LLC",48827,EATON,"330 HAMMAN ST, EATON RAPIDS, MI","[-84.65294759999999, 42.4938528]"
D1208,VFW NATIONAL HOME FOR CHILDREN,48827,INGHAM,"3573 SOUTH WAVERLY ROAD, EATON RAPIDS, MI","[-84.600523, 42.4877614]"
A0968,"VON WEISE USA, INC",48827,EATON,"402 E HAVEN ST, EATON RAPIDS, MI","[-84.65363409999999, 42.5010706]"
B2786,HITACHI MAGNETICS CORP,48829,MONTCALM,"7800 NEFF RD, EDMORE, MI","[-85.02432859999999, 43.4072283]"
N7347,"LAKELAND MILLS, INC.",48829,MONTCALM,"1 LAKELAND PLACE, EDMORE, MI","[-85.0293548, 43.4049758]"
B2966,ITT AUTOMOTIVE ELSIE PLANT,48831,CLINTON,"222 PARK AVE, ELSIE, MI","[-84.3970622, 43.0927391]"
M1906,AGRI SALES INC,48832,GRATIOT,"6518 W PINGREE RD, ELWELL, MI","[-84.7461192, 43.3868093]"
P1166,BRUCE WALDRON EXCAVATING,48832,GRATIOT,"8340 PARKS ROAD, ELWELL, MI","[-84.7733841, 43.4592075]"
U47149571,ALAN'S PARK,48836,LIVINGSTON,"3575 NICHOLSON ROAD, FOWLERVILLE, MI","[-84.11340539999999, 42.6524134]"
N6707,"ASAHI KASEI PLASTICS NORTH AMERICA, INC.",48836,LIVINGSTON,"900 E. VAN RIPER RD., FOWLERVILLE, MI","[-84.0562218, 42.6487445]"
N6662,BIGOS PRECAST,48836,LIVINGSTON,"VAN RIPER RD, FOWLERVILLE, MI","[-84.0615155, 42.6502523]"
B2795,DTE ELECTRIC COMPANY - COLFAX PEAKING FACILITY,48836,LIVINGSTON,"4025 GREGORY, FOWLERVILLE, MI","[-84.0941284, 42.658572]"
N2697,FOWLERVILLE BP,48836,LIVINGSTON,"203 W. GRAND RIVER, FOWLERVILLE, MI","[-84.07474479999999, 42.6604948]"
N7397,INDUSTRIAL RESIN RECYCLING INC. (FORMERLY JCIM),48836,LIVINGSTON,"705 E. VAN RIPER RD., FOWLERVILLE, MI","[-84.06256359999999, 42.6510402]"
N8260,KREBSVIEW FARMS,48836,LIVINGSTON,"8760 MASON RD, FOWLERVILLE, MI","[-84.08532520000001, 42.5993226]"
N6842,RHETECH INC,48836,LIVINGSTON,"9201 W GRAND RIVER, FOWLERVILLE, MI","[-84.09716069999999, 42.6584806]"
P0773,SPRING ARBOR COATINGS - FOWLERVILLE,48836,LIVINGSTON,"895 GARDEN LANE, FOWLERVILLE, MI","[-84.08465919999999, 42.6547501]"
N7413,VENTRA FOWLERVILLE LLC,48836,LIVINGSTON,"8887 WEST GRAND RIVER AVENUE, FOWLERVILLE, MI","[-84.09022949999999, 42.65995179999999]"
N5129,ZF INDUSTRIES INC.,48836,LIVINGSTON,"500 E VAN RIPER RD, FOWLERVILLE, MI","[-84.06778, 42.6481243]"
N7823,TRENDWEL ANTRIM INC - EAST ALBERT 2 SATELLITE,48837,MONTMORENCY,"E.ALBERT2  NW NW SW SEC2 T29N R2E, ALBERT TWP, MI","[-84.3047611, 44.895556]"
M3912,ADM GRAIN COMPANY - GRAND LEDGE,48837,CLINTON,"16994 S WRIGHT RD, GRAND LEDGE, MI","[-84.7394525, 42.7988759]"
N3567,DEPARTMENT OF MILITARY AFFAIRS,48837,EATON,"10602 EATON HWY, GRAND LEDGE, MI","[-84.8191701, 42.7707336]"
B6202,"E-T-M ENTERPRISES, INC.",48837,EATON,"920 N. CLINTON ST., GRAND LEDGE, MI","[-84.7389836, 42.7616968]"
N5996,GRANGER GRAND RIVER AVENUE LANDFILL,48837,CLINTON,"8550 WEST GRAND RIVER AVENUE, GRAND LEDGE, MI","[-84.6955079, 42.7909945]"
N7297,"L.D. CLARK COMPANY, LLC",48837,EATON,"BUILDERS REDI-MIX, GRAND LEDGE, MI","[-84.77305360000001, 42.74093810000001]"
