epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
,A3933,HARBISON WALKER REFRACTORIES CO,RTE 31  S,LUDINGTON,49431,MASON,CADILLAC,,"RTE 31  S, LUDINGTON, MI 49431"
MAJOR,A3934,GREAT LAKES CASTINGS LLC,800 N. Washington Ave.,LUDINGTON,49431,MASON,CADILLAC,OWENSC1,"800 N. Washington Ave., LUDINGTON, MI 49431"
MINOR,A3939,METALWORKS INC,902 E FOURTH ST,LUDINGTON,49431,MASON,CADILLAC,DICKMANR,"902 E FOURTH ST, LUDINGTON, MI 49431"
MAJOR,A5764,"VENTRA EVART, LLC",601 W. Seventh Street,EVART,49631,OSCEOLA,CADILLAC,OWENSC1,"601 W. Seventh Street, EVART, MI 49631"
MAJOR,A9364,"HUTCHINSON ANTIVIBRATION SYSTEMS, INC",600  Seventh St.,CADILLAC,49601,WEXFORD,CADILLAC,DICKMANR,"600  Seventh St., CADILLAC, MI 49601"
MAJOR,A9365,"AKWEL CADILLAC USA, INC.",603 West Seventh St.,CADILLAC,49601,WEXFORD,GAYLORD,RADULSKIR,"603 West Seventh St., CADILLAC, MI 49601"
,B1821,GENERAL CHEMICAL INDUSTRIAL PRODUCTS INC.,1501 Main St.,MANISTEE,49660,MANISTEE,CADILLAC,,"1501 Main St., MANISTEE, MI 49660"
MAJOR,B1824,"MORTON SALT, INC.",180  6th Street,MANISTEE,49660,MANISTEE,CADILLAC,DICKMANR,"180  6th Street, MANISTEE, MI 49660"
MAJOR,B1846,OCCIDENTAL CHEMICAL CORPORATION,1600 S. Madison St.,LUDINGTON,49431,MASON,CADILLAC,DICKMANR,"1600 S. Madison St., LUDINGTON, MI 49431"
MAJOR,B2178,"CADILLAC CASTING, INC",1500  4th Ave.,CADILLAC,49601,WEXFORD,CADILLAC,CHILDSK,"1500  4th Ave., CADILLAC, MI 49601"
MAJOR,B3692,PACKAGING CORPORATION OF AMERICA - FILER CITY MILL,2246  Udell St.,FILER CITY,49634,MANISTEE,CADILLAC,DICKMANR,"2246  Udell St., FILER CITY, MI 49634"
MAJOR,B3721,ANR PIPELINE - REED CITY COMPRESSOR STATION,7677  230th Ave.,REED CITY,49677,OSCEOLA,CADILLAC,OWENSC1,"7677  230th Ave., REED CITY, MI 49677"
MAJOR,B4197,AAR MOBILITY SYSTEMS,201  Haynes St.,CADILLAC,49601,WEXFORD,CADILLAC,LINDGRENJ2,"201  Haynes St., CADILLAC, MI 49601"
,B4257,TRAVERSE CITY LIGHT AND POWER BAYSIDE POWER PLANT,208  Grandview Pky,TRAVERSE CITY,49684,GRAND TRAVERSE,CADILLAC,,"208  Grandview Pky, TRAVERSE CITY, MI 49684"
SM OPT OUT,B5552,LAMBDA ENERGY RESOURCES LLC - CLEON 11,Viaduct Rd.,COPEMISH,49625,MANISTEE,CADILLAC,CHILDSK,"Viaduct Rd., COPEMISH, MI 49625"
